orig_no	taxon_no	record_type	flags	taxon_rank	taxon_name	taxon_attr	difference	accepted_no	accepted_rank	accepted_name	parent_no	parent_name	immpar_no	immpar_name	reference_no	is_extant	n_occs	phylum	class	order	family	genus	type_taxon	primary_reference
8271	8271	txn		genus	Antispira	Perner 1903		8271	genus	Antispira	58668	Onychochilidae			12085	extinct	3	Mollusca	Paragastropoda	Mimospirida	Onychochilidae	Antispira	Antispira praecox	J. Perner. 1903. Gastéropodes, Tome 1: Patellidae et Bellerophontidae
74057	74057	txn	V	species	Invertospira lamellifera	(Horný 1964)	recombined as	74057	species	Antispira lamellifera	8271	Antispira			13145	extinct	1	Mollusca	Paragastropoda	Mimospirida	Onychochilidae	Antispira		R. J. Horný. 1964. New Lower Paleozoic gastropod genera of Bohemia (Mollusca). asopis Národni Muzea - Oddíl pírodovdny 133:211-216
74057	331048	txn		species	Antispira lamellifera	(Horný 1964)		74057	species	Antispira lamellifera	8271	Antispira			13145	extinct	1	Mollusca	Paragastropoda	Mimospirida	Onychochilidae	Antispira		R. J. Horný. 1964. New Lower Paleozoic gastropod genera of Bohemia (Mollusca). asopis Národni Muzea - Oddíl pírodovdny 133:211-216
331059	331059	txn	V	species	Scaevogyra (Versispira) ferrigena	(Perner 1911)	recombined as	331059	species	Antispira ferrigena	8271	Antispira			16258	extinct	0	Mollusca	Paragastropoda	Mimospirida	Onychochilidae	Antispira		J. Perner. 1911. Gastéropodes, Tome 3
331059	331060	txn	V	species	Versispira ferrigena	(Perner 1911)	recombined as	331059	species	Antispira ferrigena	8271	Antispira			16258	extinct	0	Mollusca	Paragastropoda	Mimospirida	Onychochilidae	Antispira		J. Perner. 1911. Gastéropodes, Tome 3
331059	331061	txn		species	Antispira ferrigena	(Perner 1911)		331059	species	Antispira ferrigena	8271	Antispira			16258	extinct	0	Mollusca	Paragastropoda	Mimospirida	Onychochilidae	Antispira		J. Perner. 1911. Gastéropodes, Tome 3
331046	331046	txn		species	Antispira praecox	Perner 1903		331046	species	Antispira praecox	8271	Antispira			12085	extinct	2	Mollusca	Paragastropoda	Mimospirida	Onychochilidae	Antispira		J. Perner. 1903. Gastéropodes, Tome 1: Patellidae et Bellerophontidae
8281	8281	txn		genus	Invertospira	Horný 1964	subjective synonym of	8271	genus	Antispira	58668	Onychochilidae			13145	extinct	3	Mollusca	Paragastropoda	Mimospirida	Onychochilidae	Antispira		R. J. Horný. 1964. New Lower Paleozoic gastropod genera of Bohemia (Mollusca). asopis Národni Muzea - Oddíl pírodovdny 133:211-216
8278	8278	txn		genus	Helicotis	Koken and Perner 1925		8278	genus	Helicotis	58668	Onychochilidae			11503	extinct	3	Mollusca	Paragastropoda	Mimospirida	Onychochilidae	Helicotis	Helicotis rugifera	E. Koken and J. Perner. 1925. Die Gastropoden des baltischen Untersilurs
76399	76399	txn	V	species	Temnodiscus rugifera	(Koken 1897)	recombined as	76399	species	Helicotis rugifera	8278	Helicotis			13884	extinct	1	Mollusca	Paragastropoda	Mimospirida	Onychochilidae	Helicotis		E. Koken. 1897. Die Gastropoden des baltischen Untersilurs. Bulletin de l'Académie Impériale des Sciences de St. Pétersburg 7(2):97-214
76399	80096	txn		species	Helicotis rugifera	(Koken 1897)		76399	species	Helicotis rugifera	8278	Helicotis			13884	extinct	1	Mollusca	Paragastropoda	Mimospirida	Onychochilidae	Helicotis		E. Koken. 1897. Die Gastropoden des baltischen Untersilurs. Bulletin de l'Académie Impériale des Sciences de St. Pétersburg 7(2):97-214
8282	8282	txn		genus	Kobayashiella	Endo 1937		8282	genus	Kobayashiella	58668	Onychochilidae			15891	extinct	4	Mollusca	Paragastropoda	Mimospirida	Onychochilidae	Kobayashiella		R. Endo. 1937. Part III: Addenda to parts I and II. Bulletin of the Manchurian Science Museum 1:302-369
76222	74525	txn	V	species	Matherella circe	(Walcott 1905)	recombined as	76222	species	Kobayashiella circe	8282	Kobayashiella			16410	extinct	1	Mollusca	Paragastropoda	Mimospirida	Onychochilidae	Kobayashiella		C. D. Walcott. 1905. Cambrian faunas of China. Proceedings of the United States National Museum 29:1-106
76222	76222	txn	V	species	Straparollina circe	(Walcott 1905)	recombined as	76222	species	Kobayashiella circe	8282	Kobayashiella			16410	extinct	1	Mollusca	Paragastropoda	Mimospirida	Onychochilidae	Kobayashiella		C. D. Walcott. 1905. Cambrian faunas of China. Proceedings of the United States National Museum 29:1-106
76222	80014	txn		species	Kobayashiella circe	(Walcott 1905)		76222	species	Kobayashiella circe	8282	Kobayashiella			16410	extinct	1	Mollusca	Paragastropoda	Mimospirida	Onychochilidae	Kobayashiella		C. D. Walcott. 1905. Cambrian faunas of China. Proceedings of the United States National Museum 29:1-106
74091	74091	txn		species	Kobayashiella heritagensis	Webers et al. 1992		74091	species	Kobayashiella heritagensis	8282	Kobayashiella			16420	extinct	3	Mollusca	Paragastropoda	Mimospirida	Onychochilidae	Kobayashiella		G. F. Webers, J. Pojeta, and EL Yochelson. 1992. Cambrian Mollusca from the Minaret Formation, Ellsworth Mountains, West Antarctica. Geological Society of America Memoir 170:181-248
7936	7936	txn		genus	Kistasella	Missarzhevsky 1989		7936	genus	Kistasella	58668	Onychochilidae			15318	extinct	0	Mollusca	Paragastropoda	Mimospirida	Onychochilidae	Kistasella		V. V. Missarzhevsky. 1989. Oldest skeletal fossils of late Precambrian and early Cambrian age: a review of recent work. Trudy Geologicheskogo Instituta AN SSSR 443:1-231
