source,target,type
"Frison, Theodore Henry",Hunt,unknown
"Frison, Theodore Henry",Yeatter,unknown
Yeatter,Leigh,unknown
Yeatter,"Leigh, W. H.",unknown
"Mohr, C.O.","Townsend, L.H.",unknown
"Mohr, C.O.",Labisky,unknown
"Mohr, C.O.","Pearson, E.W.",unknown
"Mohr, C.O.","Ayars, James S.",unknown
"Mohr, C.O.","VanCleave, H.J.",unknown
"Mohr, C.O.","Farrar, Milton Dyer",unknown
"Burks, B. D.","Boesel, M. W.",unknown
"Burks, B. D.",Rigel,unknown
"Burks, B. D.",Riegel,unknown
"Ross, Herbert Holdsworth","Ries, D.T.",unknown
"Ross, Herbert Holdsworth","Kimmins, Douglas Eric",unknown
"Ross, Herbert Holdsworth","Mohr, Carl O.",unknown
"Mohr, Carl O.","Dozier, Herbert Lawrence",unknown
"Dozier, Herbert Lawrence","Park, O.",unknown
"Ross, Herbert Holdsworth","Ross, J.A.",unknown
"Ross, Herbert Holdsworth","Kingsolver, John M.",unknown
"Ross, Herbert Holdsworth",Ross,unknown
"Alsterlund, J. F.","Beaver, P.",unknown
"DeWalt, R. Edward","Snyder, E. D.",unknown
"Snyder, E. D.","Beinlich, Julia",unknown
"DeWalt, R. Edward","Jaureguy, J.",unknown
"Jaureguy, J.","Nelson, A. J.",unknown
"Nelson, A. J.","Yoder, Matthew Jon",unknown
"Yoder, Matthew Jon","Dmitriev, Dmitry Alexandrovich",unknown
"DeWalt, R. Edward","Newman, Evan A.",unknown
"Newman, Evan A.","Clem, C. Scott",unknown
"McElrath, Thomas Christian","Blount, Joni",unknown
"McElrath, Thomas Christian","Grinter, Christopher C.",unknown
"Grinter, Christopher C.","Kline, Haley",unknown
"McElrath, Thomas Christian","Leschen, Richard A. B.",unknown
"McElrath, Thomas Christian","Ellis, Matthew B.",unknown
