c127686,t330394,color=lemonchiffon
c127687,t330448,color=lemonchiffon
c127724,t330731,color=lemonchiffon
c127731,t330745,color=lemonchiffon
c127747,t330770,color=lemonchiffon
c127764,t330808,color=lemonchiffon
c127783,t330852,color=lemonchiffon
c127800,t330910,color=lemonchiffon
c127822,t330965,color=lemonchiffon
c127827,t330972,color=lemonchiffon
c127832,t330994,color=lemonchiffon
c127833,t330995,color=lemonchiffon
c127880,t331127,color=lemonchiffon
c127891,t331154,color=lemonchiffon
c127899,t331165,color=lemonchiffon
c127929,t331286,color=lemonchiffon
c127938,t331331,color=lemonchiffon
c127942,t331357,color=lemonchiffon
c127961,t331416,color=lemonchiffon
c127962,t331417,color=lemonchiffon
c127972,t331424,color=lemonchiffon
c127973,t331425,color=lemonchiffon
c127984,t331468,color=lemonchiffon
c127997,t443789,color=lemonchiffon
c128016,t331498,color=lemonchiffon
c128038,t331534,color=lemonchiffon
c128080,t331616,color=lemonchiffon
c128123,t331683,color=lemonchiffon
c128130,t331690,color=lemonchiffon
c128138,t331703,color=lemonchiffon
c128141,t331718,color=lemonchiffon
c128142,t331720,color=lemonchiffon
c128146,t331733,color=lemonchiffon
c128184,t331806,color=lemonchiffon
c128249,t331931,color=lemonchiffon
c128318,t331997,color=lemonchiffon
c128384,t332055,color=lemonchiffon
c128413,t332143,color=lemonchiffon
c128414,t332144,color=lemonchiffon
c128517,t332277,color=lemonchiffon
c128555,t332293,color=lemonchiffon
c128562,t332310,color=lemonchiffon
c128569,t332323,color=lemonchiffon
c128581,t332361,color=lemonchiffon
c128589,t332381,color=lemonchiffon
c128593,t332407,color=lemonchiffon
c128606,t332445,color=lemonchiffon
c128611,t332469,color=lemonchiffon
c128625,t332510,color=lemonchiffon
c128626,t332512,color=lemonchiffon
c128632,t332538,color=lemonchiffon
c128641,t332562,color=lemonchiffon
c128654,t332598,color=lemonchiffon
c128671,t332653,color=lemonchiffon
c128672,t332659,color=lemonchiffon
c128675,t332683,color=lemonchiffon
c128678,t332693,color=lemonchiffon
c128699,t332733,color=lemonchiffon
c128703,t332746,color=lemonchiffon
c128705,t332750,color=lemonchiffon
c128710,t332772,color=lemonchiffon
c128717,t332798,color=lemonchiffon
c128785,t332891,color=lemonchiffon
c128786,t332893,color=lemonchiffon
c128816,t332915,color=lemonchiffon
c128820,t332924,color=lemonchiffon
c128829,t332953,color=lemonchiffon
c128852,t333028,color=lemonchiffon
c128859,t333075,color=lemonchiffon
c128871,t443815,color=lemonchiffon
c128882,t333152,color=lemonchiffon
c128932,t333257,color=lemonchiffon
c128978,t333337,color=lemonchiffon
c128982,t333344,color=lemonchiffon
c128984,t333357,color=lemonchiffon
c128986,t333360,color=lemonchiffon
c129009,t333404,color=lemonchiffon
c129016,t333419,color=lemonchiffon
c129037,t333456,color=lemonchiffon
c129038,t333456,color=lemonchiffon
c129042,t333463,color=lemonchiffon
c129043,t333465,color=lemonchiffon
c129072,t333498,color=lemonchiffon
