c127686,t330396,color=lemonchiffon
c127687,t330449,color=lemonchiffon
c127724,t330732,color=lemonchiffon
c127731,t330747,color=lemonchiffon
c127747,t330769,color=lemonchiffon
c127764,t330815,color=lemonchiffon
c127783,t330853,color=lemonchiffon
c127800,t330911,color=lemonchiffon
c127822,t330966,color=lemonchiffon
c127827,t330973,color=lemonchiffon
c127832,t331009,color=lemonchiffon
c127833,t331018,color=lemonchiffon
c127880,t331130,color=lemonchiffon
c127891,t331157,color=lemonchiffon
c127899,t331171,color=lemonchiffon
c127929,t331287,color=lemonchiffon
c127938,t331333,color=lemonchiffon
c127942,t331358,color=lemonchiffon
c127961,t331417,color=lemonchiffon
c127962,t331418,color=lemonchiffon
c127972,t331425,color=lemonchiffon
c127973,t331427,color=lemonchiffon
c127984,t331469,color=lemonchiffon
c127997,t331484,color=lemonchiffon
c128016,t331499,color=lemonchiffon
c128038,t331554,color=lemonchiffon
c128080,t331617,color=lemonchiffon
c128123,t331684,color=lemonchiffon
c128130,t331712,color=lemonchiffon
c128138,t331704,color=lemonchiffon
c128141,t331719,color=lemonchiffon
c128142,t443794,color=lemonchiffon
c128146,t331738,color=lemonchiffon
c128184,t331807,color=lemonchiffon
c128249,t331930,color=lemonchiffon
c128318,t331989,color=lemonchiffon
c128384,t332114,color=lemonchiffon
c128413,t332139,color=lemonchiffon
c128414,t332135,color=lemonchiffon
c128517,t332133,color=lemonchiffon
c128555,t332189,color=lemonchiffon
c128562,t443802,color=lemonchiffon
c128569,t332322,color=lemonchiffon
c128581,t443803,color=lemonchiffon
c128589,t443804,color=lemonchiffon
c128593,t332408,color=lemonchiffon
c128606,t332451,color=lemonchiffon
c128611,t332474,color=lemonchiffon
c128625,t332609,color=lemonchiffon
c128626,t332537,color=lemonchiffon
c128632,t332537,color=lemonchiffon
c128641,t332561,color=lemonchiffon
c128654,t332599,color=lemonchiffon
c128671,t332655,color=lemonchiffon
c128672,t332660,color=lemonchiffon
c128675,t332684,color=lemonchiffon
c128678,t332698,color=lemonchiffon
c128699,t332739,color=lemonchiffon
c128703,t332747,color=lemonchiffon
c128705,t332755,color=lemonchiffon
c128710,t332840,color=lemonchiffon
c128717,t332799,color=lemonchiffon
c128785,t332893,color=lemonchiffon
c128786,t332892,color=lemonchiffon
c128816,t332916,color=lemonchiffon
c128820,t332931,color=lemonchiffon
c128829,t332954,color=lemonchiffon
c128852,t333029,color=lemonchiffon
c128859,t333076,color=lemonchiffon
c128871,t333128,color=lemonchiffon
c128882,t333157,color=lemonchiffon
c128932,t333258,color=lemonchiffon
c128978,t333338,color=lemonchiffon
c128982,t443820,color=lemonchiffon
c128984,t333358,color=lemonchiffon
c128986,t333361,color=lemonchiffon
c129009,t333405,color=lemonchiffon
c129016,t333420,color=lemonchiffon
